id,kind,glyph,unicode,name,svg_file,status,source_or_suggest,nerdfont,code_refs,i18n_refs,test_refs,files,defined_at,note
I033,svg,,,eye-off,svg/eye-off.svg,has_svg,bx:hide,U+F070,0,0,0,,src/icons.js:77,ไม่พบที่เรียกด้วยชื่อนี้ในซอร์ส (อาจสร้างชื่อแบบไดนามิก)
I034,svg,,,file,svg/file.svg,has_svg,Boxicons,U+F016,5,0,0,app.js:5032; app.js:14568; panels/panel-ui.js:42; panels/panel-ui.js:105; toolbar/fab-config.js:31,src/icons.js:28,
I035,svg,,,film,svg/film.svg,has_svg,Boxicons,U+F008,6,0,0,app.js:8666; app.js:8927; app.js:13708; app.js:14588; gallery/album-tags.js:17; renderer/index.html:166,src/icons.js:67,
I036,svg,,,folder,svg/folder.svg,has_svg,Boxicons,U+F07B,8,0,0,app.js:4144; app.js:4593; app.js:4642; app.js:13981; gallery.js:1197; toolbar/fab-config.js:32; wiki.js:252; renderer/index.html:35,src/icons.js:45,
I037,svg,,,fullscreen,svg/fullscreen.svg,has_svg,Boxicons,U+F065,0,0,0,,src/icons.js:23,ไม่พบที่เรียกด้วยชื่อนี้ในซอร์ส (อาจสร้างชื่อแบบไดนามิก)
I038,svg,,,globe,svg/globe.svg,has_svg,Boxicons,U+F0AC,2,0,0,ai/ai-hub-def.js:62; toolbar/fab-config.js:48,src/icons.js:81,
I039,svg,,,grid,svg/grid.svg,has_svg,Boxicons,U+F00A,9,0,0,panels/panel-ui.js:46; panels/panel-ui.js:57; panels/panel-ui.js:59; panels/panel-ui.js:89; panels/panel-ui.js:95; panels/panel-ui.js:103; toolbar/fab-config.js:49; renderer/index.html:134; renderer/index.html:164,src/icons.js:34,
I040,svg,,,history,svg/history.svg,has_svg,Boxicons,U+F1DA,8,0,0,app.js:4802; panels/panel-ui.js:48; panels/panel-ui.js:67; panels/panel-ui.js:110; toolbar/fab-config.js:47; wiki.js:223; renderer/index.html:148; renderer/index.html:156,src/icons.js:24,
I041,svg,,,home,svg/home.svg,has_svg,Boxicons,U+F015,1,0,0,relationship-types.js:5,src/icons.js:36,
I042,svg,,,image,svg/image.svg,has_svg,bxs:image-alt,U+F03E,8,0,0,gallery.js:1197; panels/panel-ui.js:72; sensory-profile.js:7; toolbar/fab-config.js:50; wiki-ui.js:255; wiki.js:522; renderer/index.html:109; renderer/index.html:110,src/icons.js:41,
I043,svg,,,image-add,svg/image-add.svg,has_svg,Boxicons,U+F055,2,0,0,toolbar/fab-config.js:44; renderer/index.html:106,src/icons.js:42,
I044,svg,,,italic,svg/italic.svg,has_svg,Boxicons,U+F033,1,0,0,renderer/index.html:88,src/icons.js:11,
I045,svg,,,layout,svg/layout.svg,has_svg,Boxicons,U+F0DB,6,0,0,gallery.js:242; panels/panel-ui.js:35; panels/panel-ui.js:69; panels/panel-ui.js:75; renderer/index.html:126; renderer/index.html:163,src/icons.js:32,
I046,svg,,,link,svg/link.svg,has_svg,Boxicons,U+F0C1,6,0,0,panels/panel-ui.js:92; wiki-ui.js:216; wiki.js:88; wiki.js:101; renderer/index.html:160; renderer/index.html:162,src/icons.js:25,
I047,svg,,,list-ol,svg/list-ol.svg,has_svg,Boxicons,U+F0CB,2,0,0,renderer/index.html:98; renderer/index.html:132,src/icons.js:18,
I048,svg,,,list-ul,svg/list-ul.svg,has_svg,Boxicons,U+F0CA,4,0,0,app.js:2185; panels/panel-ui.js:39; renderer/index.html:97; renderer/index.html:121,src/icons.js:17,
I049,svg,,,lock,svg/lock.svg,has_svg,bx:lock-alt,U+F023,0,0,0,,src/icons.js:64,ไม่พบที่เรียกด้วยชื่อนี้ในซอร์ส (อาจสร้างชื่อแบบไดนามิก)
I050,svg,,,lock-open,svg/lock-open.svg,has_svg,bx:lock-open-alt,U+F09C,0,0,0,,src/icons.js:65,ไม่พบที่เรียกด้วยชื่อนี้ในซอร์ส (อาจสร้างชื่อแบบไดนามิก)
I051,svg,,,map,svg/map.svg,has_svg,Boxicons,U+F279,5,0,0,core.js:456; panels/panel-ui.js:100; toolbar/fab-config.js:34; renderer/index.html:157; renderer/index.html:165,src/icons.js:47,
I052,svg,,,maximize,svg/maximize.svg,has_svg,bx:fullscreen,U+F065,1,0,0,renderer/index.html:24,src/icons.js:72,path ซ้ำกับ fullscreen
I053,svg,,,minus,svg/minus.svg,has_svg,bxs:minus-circle,U+F056,3,0,0,relationship-types.js:12; renderer/index.html:23; renderer/index.html:282,src/icons.js:37,
I054,svg,,,note,svg/note.svg,has_svg,Boxicons,U+F249,6,0,0,panels/panel-ui.js:52; panels/panel-ui.js:112; sensory-profile.js:9; toolbar/fab-config.js:40; renderer/index.html:125; renderer/index.html:149,src/icons.js:31,
I055,svg,,,plus,svg/plus.svg,has_svg,bxs:plus-circle,U+F055,10,0,0,app.js:4735; app.js:4795; gallery.js:269; wiki.js:440; wiki.js:466; wiki.js:532; wiki.js:608; wiki.js:662; renderer/index.html:284; renderer/index.html:292,src/icons.js:38,
I056,svg,,,quote-left,svg/quote-left.svg,has_svg,bxs:quote-right,U+F10D,1,0,0,renderer/index.html:99,src/icons.js:66,
I057,svg,,,reset,svg/reset.svg,has_svg,bxs:x-circle,U+F057,4,0,0,app.js:2191; gallery.js:235; renderer/index.html:129; renderer/index.html:286,src/icons.js:39,
I058,svg,,,save,svg/save.svg,has_svg,Boxicons,U+F0C7,6,0,0,app.js:14601; toolbar/fab-config.js:53; wiki.js:214; wiki.js:217; renderer/index.html:21; renderer/index.html:36,src/icons.js:27,
I059,svg,,,search,svg/search.svg,has_svg,Boxicons,U+F002,9,0,0,ai/ai-hub-def.js:56; app.js:3475; app.js:4798; panels/panel-ui.js:50; toolbar/fab-config.js:42; renderer/index.html:37; renderer/index.html:119; renderer/index.html:123; renderer/index.html:133,src/icons.js:68,
I060,svg,,,star,svg/star.svg,has_svg,Boxicons,U+F005,5,0,0,ai/ai-hub-def.js:50; relationship-types.js:6; sensory-profile.js:11; toolbar/fab-config.js:38; wiki.js:567,src/icons.js:56,
I061,svg,,,strikethrough,svg/strikethrough.svg,has_svg,Boxicons,U+F0CC,1,0,0,renderer/index.html:90,src/icons.js:13,
I062,svg,,,subscript,svg/subscript.svg,has_svg,วาดเอง (alpha.97),U+F12C,1,0,0,renderer/index.html:93,src/icons.js:16,
